record_id,source_path,classification,suggested_device_type,device_type_confidence,confidence,reasons,conflicts,requires_review
894c9d0ec36bb449,ACs/Admiral/Admiral_AC.ir,device_family,air_conditioner,0.99,0.61,"[""dados técnicos observados em 1 protocolo(s)"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
b6303d02283c88f1,ACs/Airfel/AIRFEL_AFSW-12HAR1RCIO.ir,device_family,air_conditioner,0.99,0.62,"[""dados técnicos insuficientes"",""modelo provável, mas confiança limitada a 0.45""]",[],True
2ad0201f9d57015a,ACs/Airmax/Airmax.ir,device_family,air_conditioner,0.99,0.56,"[""dados técnicos insuficientes"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
47cd060cb3e9278f,ACs/Airmet/Airmet_ac.ir,device_family,air_conditioner,0.99,0.56,"[""dados técnicos insuficientes"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
e67bd06197a9004b,ACs/Airwell/Airwell.ir,device_family,air_conditioner,0.99,0.56,"[""dados técnicos insuficientes"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
23fb3d217c7362b3,ACs/Airwell/Airwell_AWSI-PNXA012-N11.ir,device_family,air_conditioner,0.99,0.62,"[""dados técnicos insuficientes"",""modelo provável, mas confiança limitada a 0.45""]",[],True
4de8b574fa49a3e8,ACs/Aldi/Easy_Home_Portable_Air_Cooler.ir,device_family,air_conditioner,0.99,0.56,"[""dados técnicos insuficientes"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
3921b3bbf36d48d9,ACs/Amcor/Amcor_AC.ir,device_family,air_conditioner,0.99,0.61,"[""dados técnicos observados em 1 protocolo(s)"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
0d323d3d1f2f3463,ACs/Arctic_King/Arctic_King_RG15B1.ir,device_family,air_conditioner,0.99,0.67,"[""dados técnicos observados em 1 protocolo(s)"",""modelo provável, mas confiança limitada a 0.45""]",[],True
610507664d812d03,ACs/Argo/Argo_ac.ir,device_family,air_conditioner,0.99,0.56,"[""dados técnicos insuficientes"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
44d26a0e851701c8,ACs/Argo/Argo_zelos.ir,device_family,air_conditioner,0.99,0.61,"[""dados técnicos observados em 1 protocolo(s)"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
2bf939e19076b4e0,ACs/Ariston/Ariston_AC_A-MW09-IGX.ir,device_family,air_conditioner,0.99,0.62,"[""dados técnicos insuficientes"",""modelo provável, mas confiança limitada a 0.45""]",[],True
b795c39ac4e8414b,ACs/Ballu/Ballu_R05-BGE.ir,device_family,air_conditioner,0.99,0.62,"[""dados técnicos insuficientes"",""modelo provável, mas confiança limitada a 0.45""]",[],True
d223333be311f5aa,ACs/Beko/Beko.ir,device_family,air_conditioner,0.99,0.56,"[""dados técnicos insuficientes"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
c977b6d7daff309f,ACs/Black_and_Decker/Portable.ir,device_family,air_conditioner,0.99,0.56,"[""dados técnicos insuficientes"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
3c7363b6e6ee1db5,ACs/Bonaire/Bonaire_DurangoAC.ir,device_family,air_conditioner,0.99,0.56,"[""dados técnicos insuficientes"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
437e0d605db14a27,ACs/Boston_Bay/Boston_Bay_MSAB_09CR.ir,device_family,air_conditioner,0.99,0.62,"[""dados técnicos insuficientes"",""modelo provável, mas confiança limitada a 0.45""]",[],True
599075d847399a69,ACs/Botti/Botti_BL-168DLR.ir,device_family,air_conditioner,0.99,0.62,"[""dados técnicos insuficientes"",""modelo provável, mas confiança limitada a 0.45""]",[],True
45cea251d427541c,ACs/Boulanger/Boulanger_AC.ir,device_family,air_conditioner,0.99,0.61,"[""dados técnicos observados em 1 protocolo(s)"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
d164b5f024dab55a,ACs/COTech/COTech_MPPH-08CRN7-QB6_AC.ir,device_family,air_conditioner,0.99,0.62,"[""dados técnicos insuficientes"",""modelo provável, mas confiança limitada a 0.45""]",[],True
dc1f42cc49753999,ACs/Carrier/Carrier_orlen_ac.ir,device_family,air_conditioner,0.99,0.56,"[""dados técnicos insuficientes"",""marca e categoria conhecidas, sem modelo específico confiável""]",[],True
0081278a9091403e,ACs/Chigo/Chigo_CS-21H3A-B155AF.ir,device_family,air_conditioner,0.99,0.62,"[""dados técnicos insuficientes"",""modelo provável, mas confiança limitada a 0.45""]",[],True
