path,expected_classification,predicted_classification,predicted_confidence,reference_rule_id,reference_evidence,matched,review_reason,selection_reason
ACs/Insigna/Insigna_AC_NSRC2AC9.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Insigna"", ""category_segment"": ""ACs"", ""commercial_model"": ""AC_NSRC2AC9"", ""filename"": ""Insigna_AC_NSRC2AC9""}",False,predição diverge da regra silver,decision_boundary
ACs/Koldfront/Koldfront_WAC12001.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Koldfront"", ""category_segment"": ""ACs"", ""commercial_model"": ""WAC12001"", ""filename"": ""Koldfront_WAC12001""}",False,predição diverge da regra silver,decision_boundary
ACs/LG/LG_COV30332906_AC.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""LG"", ""category_segment"": ""ACs"", ""commercial_model"": ""COV30332906_AC"", ""filename"": ""LG_COV30332906_AC""}",False,predição diverge da regra silver,decision_boundary
ACs/LG/LG_LP1015WNR_AC.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""LG"", ""category_segment"": ""ACs"", ""commercial_model"": ""LP1015WNR_AC"", ""filename"": ""LG_LP1015WNR_AC""}",False,predição diverge da regra silver,decision_boundary
ACs/MayTag/MayTag_M6X06F2A.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""MayTag"", ""category_segment"": ""ACs"", ""commercial_model"": ""M6X06F2A"", ""filename"": ""MayTag_M6X06F2A""}",False,predição diverge da regra silver,decision_boundary
ACs/Midea/Midea_MP12SVKBA3RCM.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Midea"", ""category_segment"": ""ACs"", ""commercial_model"": ""MP12SVKBA3RCM"", ""filename"": ""Midea_MP12SVKBA3RCM""}",False,predição diverge da regra silver,decision_boundary
ACs/Midea/Midea_WWK08CR81N.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Midea"", ""category_segment"": ""ACs"", ""commercial_model"": ""WWK08CR81N"", ""filename"": ""Midea_WWK08CR81N""}",False,predição diverge da regra silver,decision_boundary
ACs/Oreck/Oreck_AIR12GU.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Oreck"", ""category_segment"": ""ACs"", ""commercial_model"": ""AIR12GU"", ""filename"": ""Oreck_AIR12GU""}",False,predição diverge da regra silver,decision_boundary
ACs/SereneLife/SereneLife_SLPAC8.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""SereneLife"", ""category_segment"": ""ACs"", ""commercial_model"": ""SLPAC8"", ""filename"": ""SereneLife_SLPAC8""}",False,predição diverge da regra silver,decision_boundary
ACs/Zephir/Zephir_ZPO9001H_AC.ir,specific_device,device_family,0.67,specific.brand_model_filename.v1,"{""brand_segment"": ""Zephir"", ""category_segment"": ""ACs"", ""commercial_model"": ""ZPO9001H_AC"", ""filename"": ""Zephir_ZPO9001H_AC""}",False,predição diverge da regra silver,decision_boundary
